time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,96,66,96,85,59,0,64,9,95,55,11,8,44,51,71,75,27,51,87,11,34,n/a,False,False
2019-01-13,100,74,94,81,76,0,67,23,94,42,10,12,56,49,74,88,40,60,93,22,41,n/a,False,False
2019-01-20,87,70,88,72,70,0,55,9,73,37,0,11,52,29,56,87,53,30,89,42,65,n/a,False,False
2019-01-27,89,75,79,74,69,0,63,23,89,53,51,9,46,50,47,73,40,36,79,64,90,n/a,False,False
2019-02-03,87,72,81,76,77,0,61,18,63,56,42,10,45,36,57,77,36,43,76,63,83,n/a,False,False
2019-02-10,88,74,87,85,70,0,60,18,67,45,20,13,57,38,54,82,35,29,80,32,47,n/a,False,False
2019-02-17,87,67,80,81,67,0,59,18,76,34,31,13,75,42,54,90,26,36,76,32,51,n/a,False,False
2019-02-24,93,68,85,85,45,0,59,9,67,43,72,11,42,45,55,71,31,43,76,52,58,n/a,False,False
2019-03-03,94,78,90,70,75,0,63,14,59,58,0,10,58,50,67,65,45,43,93,43,60,n/a,False,False
2019-03-10,87,68,83,64,60,0,68,5,82,52,21,7,57,46,69,74,18,53,85,75,81,n/a,False,False
2019-03-17,88,79,85,77,60,0,51,0,55,52,53,10,39,43,64,88,31,54,76,64,24,n/a,False,False
2019-03-24,92,78,94,74,48,0,40,18,64,55,42,8,50,95,59,74,27,40,76,32,22,n/a,False,False
2019-03-31,93,79,93,88,82,0,48,9,57,31,63,8,25,48,50,84,50,37,83,32,23,n/a,False,False
2019-04-07,96,81,82,83,88,0,44,18,37,58,64,10,39,50,61,81,49,50,88,11,57,n/a,False,False
2019-04-14,85,83,92,100,53,0,56,24,59,45,22,10,58,52,47,86,51,59,84,56,30,n/a,False,False
2019-04-21,87,82,74,81,96,0,52,18,45,48,32,9,47,42,48,74,28,59,88,55,30,n/a,False,False
2019-04-28,98,79,92,93,60,0,51,18,51,41,53,9,30,39,60,95,36,54,78,54,33,n/a,False,False
2019-05-05,88,75,81,84,73,0,52,23,80,46,62,12,46,52,75,79,45,47,78,32,33,n/a,False,False
2019-05-12,86,72,73,84,64,0,48,32,46,29,52,8,39,61,52,79,27,57,82,54,39,n/a,False,False
2019-05-19,84,80,71,83,68,0,45,9,61,44,51,7,43,51,63,87,22,33,85,63,48,n/a,False,False
2019-05-26,75,72,75,49,74,0,44,4,37,34,41,9,41,46,43,67,35,26,60,11,31,n/a,False,False
2019-06-02,81,78,84,53,51,0,45,13,43,39,21,9,34,100,67,72,44,30,66,21,50,n/a,False,False
2019-06-09,82,74,84,60,66,0,47,9,47,45,41,6,38,50,55,77,44,33,80,31,51,n/a,False,False
2019-06-16,83,78,83,50,69,0,48,18,57,46,21,7,37,37,47,65,27,47,83,32,47,n/a,False,False
2019-06-23,79,84,77,45,60,1,49,18,63,46,10,7,43,29,52,76,45,50,77,52,49,n/a,False,False
2019-06-30,77,72,73,45,63,0,47,0,55,33,42,6,27,31,40,69,9,67,62,32,49,n/a,False,False
2019-07-07,81,77,84,49,63,0,43,4,57,41,31,7,52,40,59,72,27,50,86,42,54,n/a,False,False
2019-07-14,84,83,90,51,81,0,54,5,63,38,63,7,51,41,52,66,59,44,76,22,51,n/a,False,False
2019-07-21,85,89,81,50,63,0,45,14,50,36,22,7,53,46,59,81,41,31,81,78,27,n/a,False,False
2019-07-28,85,86,79,47,67,1,39,9,52,47,22,7,40,25,72,71,42,28,85,44,36,n/a,False,False
2019-08-04,84,79,81,51,72,0,44,9,58,34,11,7,54,36,52,70,18,69,72,22,41,n/a,False,False
2019-08-11,93,87,91,66,68,0,54,9,55,45,63,7,53,67,58,81,27,37,89,32,47,n/a,False,False
2019-08-18,88,85,75,66,70,0,41,18,61,33,21,6,45,42,65,76,49,51,77,85,35,n/a,False,False
2019-08-25,94,100,79,67,70,0,51,18,69,38,21,9,41,38,66,85,18,49,86,32,35,n/a,False,False
2019-09-01,90,89,78,64,72,0,50,17,64,41,60,5,46,32,72,100,34,57,72,20,40,n/a,False,False
2019-09-08,93,95,73,85,100,0,51,9,57,40,40,7,26,42,100,95,34,93,73,31,44,n/a,False,False
2019-09-15,91,89,90,80,75,0,52,4,67,29,20,6,44,36,72,87,34,61,86,41,51,n/a,False,False
2019-09-22,89,84,84,83,81,0,66,13,62,37,100,11,45,49,91,83,25,44,85,50,37,n/a,False,False
2019-09-29,92,78,78,74,86,0,57,13,64,46,40,9,41,35,70,91,42,48,88,100,53,n/a,False,False
2019-10-06,89,73,77,74,83,0,60,13,68,55,69,9,50,47,73,92,38,35,76,30,100,n/a,False,False
2019-10-13,90,71,73,79,92,1,46,9,61,31,39,7,50,42,53,88,29,47,76,30,48,n/a,False,False
2019-10-20,89,69,81,70,84,1,45,0,52,43,69,8,34,31,49,79,33,75,86,60,42,n/a,False,False
2019-10-27,94,64,85,77,80,0,50,29,64,56,39,10,43,40,51,86,33,100,83,60,41,n/a,False,False
2019-11-03,85,63,79,99,81,1,47,17,65,44,39,9,47,29,73,93,46,66,79,49,40,n/a,False,False
2019-11-10,94,66,88,77,71,0,58,8,57,64,10,12,30,39,68,79,99,43,79,30,41,n/a,False,False
2019-11-17,93,76,83,80,89,0,51,21,79,44,59,9,47,33,72,89,91,53,94,20,38,n/a,False,False
2019-11-24,94,62,80,59,75,0,56,12,61,59,39,6,48,44,87,77,54,40,68,39,68,n/a,False,False
2019-12-01,91,69,82,86,78,0,52,17,77,63,20,9,42,38,84,75,91,62,77,59,33,n/a,False,False
2019-12-08,95,72,82,86,62,0,57,21,61,52,49,8,48,40,77,91,58,28,76,30,52,n/a,False,False
2019-12-15,93,72,81,83,97,0,78,13,70,46,39,9,28,26,66,89,76,47,86,50,29,n/a,False,False
2019-12-22,91,64,75,48,63,0,60,5,80,67,32,11,40,30,80,79,97,28,83,22,41,n/a,False,False
2019-12-29,91,68,88,59,74,0,48,9,97,47,31,8,38,36,61,84,53,70,90,11,49,n/a,False,False
2020-01-05,93,67,91,65,80,0,66,33,83,44,19,10,46,51,64,70,61,37,100,39,37,n/a,False,False
2020-01-12,94,73,88,74,78,0,45,8,64,31,46,12,42,35,73,74,59,47,75,19,61,n/a,False,False
2020-01-19,89,72,94,82,73,0,54,25,74,59,19,17,25,40,65,82,53,18,89,68,35,n/a,False,False
2020-01-26,90,67,81,78,81,0,52,16,45,20,47,23,47,58,47,85,40,36,80,29,31,n/a,False,False
2020-02-02,93,73,79,73,64,3,69,28,63,56,56,19,30,44,42,77,32,27,80,19,37,n/a,False,False
2020-02-09,92,71,90,83,69,1,58,20,75,51,37,17,38,45,55,70,32,27,84,37,46,n/a,False,False
2020-02-16,90,72,88,71,62,0,53,4,63,45,82,17,56,42,49,69,59,38,84,37,32,n/a,False,False
2020-02-23,88,74,83,81,55,1,52,12,67,49,73,23,55,43,74,73,50,32,90,55,37,n/a,False,False
2020-03-01,86,71,80,78,48,3,50,16,63,44,45,25,36,45,70,68,53,14,86,28,39,n/a,False,False
2020-03-08,88,63,85,80,53,2,43,53,81,35,63,61,33,42,47,71,38,37,80,54,39,,False,False
2020-03-15,85,57,76,53,45,0,64,4,84,62,35,100,19,45,62,62,33,28,76,62,28,1.0,False,False
2020-03-22,94,63,79,69,61,0,51,11,78,55,25,88,39,42,65,94,57,19,89,53,27,28.0,False,False
2020-03-29,100,68,81,71,74,0,58,7,99,65,51,75,35,31,46,98,47,16,88,94,39,97.0,False,False
2020-04-05,100,72,82,81,74,1,45,7,91,84,34,67,47,38,53,90,82,20,87,79,30,207.0,False,False
2020-04-12,98,73,90,82,76,0,60,7,100,69,34,51,32,45,79,80,73,22,86,44,33,308.0,False,False
2020-04-19,94,79,79,79,54,0,57,33,98,58,50,41,39,39,50,91,40,43,73,43,37,584.0,False,False
2020-04-26,91,84,94,74,56,0,56,15,70,69,50,34,41,27,53,74,43,48,71,43,30,867.0,False,False
2020-05-03,96,81,89,77,51,0,39,18,95,48,33,30,46,49,79,84,82,16,83,26,38,1191.0,False,False
2020-05-10,89,81,100,79,53,0,42,11,85,53,8,26,47,36,62,84,51,16,82,78,40,1488.0,False,False
2020-05-17,80,84,82,65,70,0,42,15,56,44,43,20,39,38,45,64,22,19,77,61,40,1896.0,False,False
2020-05-24,77,83,86,43,69,0,50,22,57,66,9,15,100,41,61,71,30,14,68,18,37,2336.0,False,False
2020-05-31,76,77,83,47,52,1,59,43,68,52,17,11,71,44,66,57,43,13,66,9,48,2574.0,False,False
2020-06-07,76,84,89,53,55,1,45,55,39,53,42,13,75,51,64,64,44,16,72,44,60,2857.0,False,False
2020-06-14,79,79,92,55,50,0,57,26,60,49,26,9,61,34,64,60,48,8,60,44,60,3076.0,False,False
2020-06-21,73,85,86,56,43,0,54,100,53,45,44,15,27,30,69,64,49,14,56,36,39,3283.0,False,False
2020-06-28,76,74,74,39,55,0,51,23,47,50,18,13,35,28,54,52,27,14,61,18,76,3488.0,False,False
2020-07-05,74,75,81,49,69,0,53,19,47,42,0,15,37,36,60,65,62,26,72,18,61,3810.0,False,False
2020-07-12,79,82,78,52,41,0,71,24,62,47,64,20,42,50,73,46,47,21,72,28,55,4329.0,False,False
2020-07-19,77,84,80,57,68,0,39,12,65,49,19,15,38,28,52,59,56,18,77,47,49,5009.0,False,False
2020-07-26,77,81,81,47,47,0,51,12,47,45,37,15,21,36,89,62,40,39,77,38,33,5864.0,False,False
2020-08-02,77,80,79,42,46,0,52,12,36,40,27,14,34,34,70,58,47,47,69,37,38,6643.0,False,False
2020-08-09,78,78,84,51,64,1,52,16,63,41,36,15,37,32,56,60,35,20,70,9,54,7582.0,False,False
2020-08-16,78,76,80,61,61,0,50,12,83,47,9,16,42,27,44,62,43,47,67,9,36,8573.0,False,False
2020-08-23,78,71,71,64,65,0,52,19,53,56,36,13,33,35,65,75,54,46,75,9,40,9852.0,False,False
2020-08-30,86,71,76,76,83,0,45,19,51,40,18,16,40,42,58,94,45,48,83,0,31,11676.0,False,False
2020-09-06,84,71,75,76,78,0,40,23,60,61,44,11,49,22,74,69,38,51,66,0,35,13599.0,False,False
2020-09-13,83,72,78,80,50,0,55,30,73,38,27,14,40,17,47,95,37,53,72,44,29,15549.0,False,False
2020-09-20,86,69,74,76,65,1,55,22,59,54,17,18,44,37,57,76,33,39,77,44,26,17925.0,False,False
2020-09-27,86,67,73,74,67,2,90,23,57,42,27,14,39,32,41,66,54,46,80,37,31,20681.0,False,False
2020-10-04,83,66,79,65,53,2,69,12,63,44,46,14,24,27,60,84,62,32,67,28,31,23495.0,False,False
2020-10-11,81,65,72,71,68,1,50,8,48,48,29,15,25,27,79,84,62,34,67,19,40,27200.0,False,False
2020-10-18,86,71,69,57,70,2,67,4,83,51,57,14,37,23,65,75,49,31,73,19,48,31886.0,False,False
2020-10-25,89,66,75,65,86,3,74,16,61,58,47,16,31,33,59,82,68,48,88,10,29,37874.0,False,False
2020-11-01,79,54,58,61,68,100,100,27,44,43,18,11,19,36,63,58,37,28,80,18,27,45344.0,False,False
2020-11-08,89,63,78,61,78,9,79,16,65,100,83,17,55,40,64,64,87,18,100,38,31,54844.0,False,False
2020-11-15,85,66,79,60,53,2,71,12,73,78,56,11,47,41,68,76,51,30,74,19,24,64654.0,False,False
2020-11-22,80,59,81,64,41,1,55,0,75,88,46,12,41,33,68,65,51,41,76,19,19,73844.0,False,False
2020-11-29,86,65,86,79,50,1,62,20,68,72,28,20,32,42,67,76,47,21,78,37,25,80084.0,False,False
2020-12-06,84,61,84,83,66,1,57,8,69,67,74,18,45,34,73,66,68,30,83,28,26,84707.0,False,False
2020-12-13,81,65,79,66,64,1,47,16,68,62,28,23,41,42,63,59,84,36,78,58,31,87871.0,False,False
2020-12-20,83,60,74,59,71,0,57,18,74,91,20,10,40,45,69,78,100,29,75,21,42,n/a,False,False
